,order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
2107025,1720299,126714,prior,72,2,18,3.0
1525483,1115146,91652,prior,4,5,14,11.0
336927,2738398,20401,prior,7,1,8,28.0
53158,3231085,3305,prior,9,5,11,9.0
259214,1192648,15712,prior,9,5,12,30.0
3360868,373886,202580,train,64,4,13,4.0
2974095,2088387,179497,prior,4,3,15,30.0
2088971,2319490,125592,prior,11,2,12,19.0
492424,1296570,29711,prior,31,5,8,7.0
754267,2716482,45382,prior,7,1,7,7.0
197424,3115781,11953,prior,22,0,7,4.0
717317,1763117,43190,prior,53,1,10,12.0
2029922,2086715,121950,prior,5,2,10,29.0
1135091,175201,68245,prior,9,2,18,30.0
2129549,1445576,128073,prior,33,5,23,2.0
1187778,2589561,71393,prior,31,0,13,9.0
956618,737664,57386,prior,3,6,19,7.0
2139632,1260426,128687,prior,81,6,12,6.0
2871755,2883788,173273,prior,5,2,19,7.0
2091053,1910064,125724,prior,24,1,10,10.0
3097783,701660,186815,prior,3,0,19,7.0
3374760,3355415,203362,prior,28,0,22,3.0
3265633,2010961,196817,prior,6,0,15,17.0
1741807,1932274,104581,prior,3,1,12,10.0
2328167,2197827,140171,prior,39,3,11,0.0
3093129,1209597,186520,prior,20,3,18,14.0
2544664,2546139,153097,prior,14,0,17,4.0
1559816,874395,93678,prior,39,4,10,6.0
2459114,3021047,148006,prior,41,0,9,3.0
950102,337564,56995,prior,62,1,12,3.0
3164795,2420390,190832,prior,4,3,17,1.0
2268979,1214758,136627,prior,2,1,11,26.0
2010540,2793028,120822,prior,19,0,16,2.0
2454006,92369,147698,prior,42,6,13,2.0
32635,731446,2011,prior,36,4,14,5.0
408238,1592945,24575,prior,18,0,8,8.0
2824737,2876445,170424,prior,25,3,10,2.0
749180,518479,45083,prior,36,1,7,5.0
717416,2975281,43201,prior,21,5,5,5.0
1193318,2111078,71754,prior,2,0,11,28.0
3403211,1347734,205105,prior,20,6,10,1.0
3309698,545815,199493,prior,5,1,18,13.0
65987,1745203,4098,prior,3,4,8,10.0
87144,1553734,5299,prior,30,4,14,7.0
1671127,1233954,100318,prior,3,5,10,30.0
3336714,2186687,201135,prior,63,0,18,0.0
1875972,2503948,112615,prior,13,0,20,6.0
3407710,498013,205401,train,6,0,10,30.0
2708222,885724,163104,test,4,2,19,18.0
3024590,2259289,182511,prior,10,6,19,7.0
900611,1091750,54091,prior,10,5,12,4.0
3301648,2644027,198957,train,21,6,12,7.0
1588993,98320,95412,prior,23,3,13,5.0
1933660,1860106,116137,prior,4,1,16,30.0
2851553,3224284,172054,prior,3,6,7,7.0
650946,3077086,39199,prior,18,4,12,11.0
1482930,582374,89133,prior,8,2,12,5.0
290576,1982760,17591,prior,14,6,14,12.0
3076116,120584,185519,prior,4,4,14,2.0
3338746,2512082,201260,prior,10,3,14,30.0
2687682,3246458,161873,prior,45,4,10,2.0
1198743,1833711,72059,prior,20,2,16,18.0
3004588,1195380,181295,prior,3,4,14,7.0
792235,1101634,47637,prior,24,2,12,12.0
2267772,2844523,136556,prior,6,4,10,12.0
301312,2451431,18213,prior,37,1,21,1.0
2783901,1592756,167875,prior,49,4,21,4.0
2815825,1154189,169905,prior,2,0,10,1.0
676621,1674867,40798,prior,6,0,8,8.0
2719206,2979282,163790,prior,2,1,11,19.0
3370582,3082254,203149,prior,12,5,8,4.0
3242949,235149,195457,prior,21,1,9,6.0
2427274,492407,146052,prior,15,6,12,3.0
978357,1850147,58811,prior,4,4,9,3.0
282060,3040898,17053,prior,49,1,9,3.0
565066,920660,34037,prior,8,3,15,30.0
171669,1172242,10370,prior,4,0,17,5.0
2225347,470238,134060,prior,40,5,16,2.0
1322425,493747,79447,prior,12,6,9,11.0
2683349,2286596,161590,prior,46,5,12,23.0
3349271,2150852,201883,prior,2,3,13,30.0
619647,2425230,37370,prior,7,6,12,21.0
975193,95361,58615,prior,11,1,10,12.0
778829,48598,46813,prior,50,1,10,5.0
2517320,95806,151516,prior,2,0,8,21.0
1645551,426682,98801,prior,3,4,16,15.0
2379065,3309711,143176,prior,15,2,15,10.0
531206,1590673,32034,prior,22,0,13,10.0
3176796,632323,191559,prior,22,1,9,7.0
1125252,2510736,67657,prior,16,1,12,17.0
2276166,1292532,137079,prior,44,5,18,8.0
2095703,1631630,125996,prior,8,0,9,2.0
1834297,1392726,110132,prior,4,1,10,24.0
1413606,1526421,84942,test,5,6,11,30.0
2813867,978799,169788,prior,64,2,19,2.0
912885,1088728,54817,prior,36,2,12,4.0
2262206,939551,136229,prior,11,3,8,10.0
2381633,177261,143318,prior,9,2,8,14.0
1215247,748612,73076,prior,23,3,18,9.0
1367756,214656,82204,prior,18,6,15,3.0
1719757,2423926,103252,prior,10,3,9,2.0
1859521,1624440,111623,prior,33,6,11,6.0
833272,1834180,50081,test,34,1,19,9.0
1301744,1528095,78243,prior,48,3,15,6.0
1413839,781889,84953,prior,13,6,17,0.0
28275,2690239,1751,prior,5,1,18,8.0
912093,737690,54774,prior,14,3,11,30.0
3061798,3303050,184678,prior,15,3,14,7.0
1561259,1466723,93791,prior,18,1,21,3.0
234071,2096024,14205,prior,14,2,23,17.0
89253,231750,5404,prior,7,0,10,20.0
1475153,1395516,88648,prior,81,5,10,4.0
1861975,716642,111756,prior,41,6,1,4.0
3236205,2343047,195062,prior,12,3,12,10.0
3373630,2217905,203310,prior,7,2,16,30.0
2689853,2487698,162003,prior,9,4,9,16.0
3097810,359,186816,prior,14,2,22,9.0
1962351,3344042,117841,prior,34,1,7,4.0
92301,1334115,5588,prior,46,4,6,1.0
2216409,1141473,133524,prior,19,2,15,8.0
1803431,286277,108322,prior,10,3,10,16.0
1139617,2628727,68484,prior,17,3,16,4.0
2248716,2533777,135425,prior,52,2,13,2.0
542513,1263238,32701,prior,5,0,11,30.0
1554911,2875435,93407,prior,5,4,8,18.0
1534823,2927878,92185,prior,36,0,10,3.0
2652843,2926,159694,prior,12,5,13,4.0
2521076,593766,151722,prior,5,6,11,30.0
2841706,1340858,171485,prior,11,5,13,8.0
1575744,496214,94629,test,73,0,20,0.0
2801153,1845998,168981,prior,3,6,17,13.0
2059868,1516189,123829,prior,14,1,14,17.0
252036,1296992,15233,prior,2,0,12,30.0
1847375,509910,110886,prior,35,2,10,15.0
802856,1432998,48290,prior,4,1,12,21.0
3257776,3001592,196332,test,4,5,13,30.0
2186294,1716056,131634,prior,96,2,8,1.0
1690005,1849231,101434,prior,3,1,12,14.0
1897919,682023,113953,prior,12,2,14,30.0
2062263,1471687,123981,prior,8,4,17,6.0
150984,2602902,9082,prior,89,6,15,2.0
682411,1013114,41136,prior,8,5,13,8.0
1264365,2539627,76028,prior,11,0,16,30.0
2015567,3381396,121105,prior,12,0,10,10.0
2647787,1977820,159405,prior,5,5,10,16.0
2684930,2228658,161703,prior,29,5,18,6.0
2384835,1199081,143509,prior,22,6,12,6.0
543042,1481486,32735,prior,14,2,17,6.0
3353198,2739876,202121,prior,19,6,16,4.0
3118341,1451863,188017,prior,9,5,9,1.0
1096564,2155467,66071,prior,2,0,18,21.0
1168318,2110554,70235,prior,38,5,19,3.0
1411916,2353572,84837,prior,44,2,10,2.0
290519,436893,17588,prior,10,6,20,6.0
2796109,3375766,168675,prior,8,4,8,3.0
1565345,3092123,94031,prior,19,0,22,7.0
122301,491041,7385,prior,22,0,16,3.0
738795,783001,44486,prior,9,2,20,2.0
872500,2939292,52440,prior,28,1,19,8.0
2080486,1356914,125116,prior,9,1,13,19.0
2873434,1807234,173368,prior,6,0,10,7.0
695077,1250528,41899,prior,27,5,19,6.0
790618,2533740,47543,prior,20,5,17,7.0
230620,2913139,13960,prior,2,6,17,21.0
2376392,1603710,143024,prior,67,6,14,2.0
1270063,2804567,76376,prior,7,5,15,2.0
1786472,2538225,107302,prior,4,6,7,21.0
2784890,3051474,167939,prior,3,4,7,11.0
1331262,944016,79984,prior,8,2,19,6.0
3205892,3237762,193293,prior,11,2,11,7.0
1976987,832927,118725,prior,5,1,15,1.0
1426944,1083754,85741,prior,12,1,12,24.0
3400076,1268144,204899,prior,15,0,13,12.0
180888,1691530,10921,prior,11,3,13,7.0
1812220,2852921,108832,prior,11,5,11,30.0
433753,2612539,26064,prior,13,6,13,6.0
2263983,3005336,136327,prior,60,1,18,0.0
2713933,711789,163451,prior,10,5,12,11.0
1572095,1391949,94439,prior,9,2,8,9.0
344799,1684568,20862,prior,2,3,1,16.0
2495631,2664806,150225,prior,81,6,16,1.0
2417931,3323443,145500,prior,82,3,15,2.0
3178666,20320,191675,prior,2,4,18,24.0
2845231,432725,171675,prior,26,4,9,9.0
544785,2855092,32823,prior,51,2,7,2.0
356796,552053,21561,prior,3,5,6,30.0
473804,828691,28556,prior,51,4,14,6.0
1871276,1096072,112317,prior,9,6,18,30.0
311679,131022,18843,prior,31,0,10,3.0
1330058,1082345,79922,prior,6,3,11,8.0
2307666,1175389,138965,prior,16,6,16,6.0
2655237,3084204,159803,prior,13,5,15,17.0
186216,922070,11243,prior,38,3,10,7.0
1633276,2917759,98055,prior,6,0,9,7.0
1902592,242714,114224,prior,12,4,16,7.0
1498017,2550264,90027,prior,15,3,12,5.0
113328,2518784,6841,prior,18,0,14,8.0
1395338,293572,83872,prior,28,3,22,4.0
2640345,3127318,158951,prior,4,4,17,9.0
3298153,2839184,198763,prior,30,1,15,8.0
2749571,1252292,165705,prior,48,2,19,9.0
1762969,2469316,105836,prior,48,0,10,4.0
1637845,200795,98332,prior,7,5,8,30.0
3069711,572442,185155,prior,2,2,10,3.0
2273306,2502409,136892,prior,5,6,18,30.0
2505682,1048152,150840,prior,65,3,10,2.0
1637965,2671422,98341,prior,25,3,11,8.0
1778366,693974,106779,prior,26,4,23,6.0
1142222,858464,68659,prior,6,0,17,6.0
674947,2778433,40701,prior,5,1,15,5.0
2386578,1796671,143626,prior,7,5,9,10.0
2976991,2234055,179666,prior,4,0,13,10.0
1392717,2177427,83709,prior,2,1,10,27.0
141848,2893876,8518,prior,30,2,19,13.0
3014338,1725740,181901,prior,3,0,12,7.0
85564,870397,5224,prior,19,3,18,5.0
2097180,3228290,126095,prior,11,1,12,9.0
1682856,480172,101009,prior,28,2,12,9.0
2665679,889889,160463,prior,13,3,8,16.0
2346202,152635,141237,prior,12,1,15,14.0
2547868,2008197,153307,prior,3,0,20,14.0
1157498,3078762,69571,prior,4,5,9,5.0
982348,1604201,59055,prior,56,6,18,5.0
2590615,2766052,155944,test,11,2,14,14.0
303430,1545705,18335,train,4,6,10,20.0
889706,229580,53465,prior,33,6,18,7.0
2150726,3236958,129367,prior,9,4,14,30.0
35503,1793941,2211,prior,19,3,12,4.0
3343007,1986438,201523,prior,17,4,12,2.0
2216492,2042725,133527,prior,23,2,10,7.0
388181,2421747,23324,prior,5,1,9,8.0
1277925,2507568,76854,prior,18,0,14,9.0
2096603,432721,126057,prior,6,5,16,1.0
85421,828983,5217,prior,19,2,14,13.0
2060741,803777,123898,prior,2,6,19,9.0
1615400,2890786,96980,prior,24,2,15,15.0
441284,3034584,26552,prior,7,5,16,27.0
1172813,2062899,70486,prior,7,0,10,20.0
65847,3153828,4087,prior,35,6,22,4.0
388258,3391010,23327,prior,26,5,14,2.0
621275,1631286,37469,prior,7,6,18,30.0
635252,2782449,38281,prior,7,0,15,21.0
286778,1535279,17339,prior,40,4,12,12.0
1639209,1493658,98417,prior,8,1,10,26.0
2477565,2105725,149090,prior,21,6,13,13.0
2698528,2228906,162533,prior,7,1,18,8.0
725757,14214,43675,prior,30,3,10,8.0
60204,1303778,3720,prior,9,4,15,6.0
797514,157491,47951,prior,7,3,16,11.0
2881422,1017517,173872,prior,10,2,19,30.0
2056827,1985430,123616,prior,8,1,23,2.0
3382374,3258845,203838,prior,6,6,7,15.0
2218883,314037,133660,prior,4,4,19,10.0
589168,2789735,35494,prior,26,0,10,0.0
1924050,2324789,115553,prior,2,1,7,7.0
979357,3105803,58871,prior,31,5,22,10.0
911242,512685,54724,prior,32,5,15,3.0
1734315,2545470,104129,prior,13,1,9,7.0
1887494,3387526,113299,prior,46,4,13,2.0
3291584,2181105,198382,prior,3,0,16,14.0
2439634,3242704,146814,test,6,6,14,4.0
2041777,866819,122694,prior,79,1,10,2.0
2710215,2448798,163233,prior,5,3,23,12.0
2089703,2299356,125655,prior,7,5,17,30.0
3360791,2006193,202577,prior,15,2,20,8.0
394805,2504616,23723,test,4,1,17,19.0
1459675,790458,87706,prior,6,1,19,30.0
1289561,2566276,77542,prior,17,3,11,13.0
2989554,2343179,180369,prior,5,6,9,8.0
1744919,2006324,104750,prior,4,0,18,14.0
416400,277312,25082,prior,19,2,14,8.0
1651197,1243483,99128,prior,5,1,14,3.0
1873485,1145840,112461,prior,8,0,14,30.0
1301269,518073,78217,prior,15,6,19,1.0
2336822,621358,140685,prior,5,1,12,12.0
1817836,38091,109167,prior,15,1,16,23.0
2740265,66836,165092,prior,36,4,19,5.0
2389078,1048664,143768,prior,46,0,23,2.0
1562854,855891,93881,prior,9,5,17,7.0
3329613,2147831,200703,prior,2,6,16,13.0
516936,1896757,31154,prior,25,1,8,4.0
1883959,2882543,113090,prior,16,1,17,6.0
1792207,824210,107639,prior,51,5,12,3.0
911449,2416987,54733,train,4,4,10,30.0
2628032,3016873,158226,prior,13,1,14,4.0
1901285,813568,114140,prior,26,1,17,6.0
1523238,185765,91521,prior,40,5,9,4.0
639068,545489,38497,prior,14,5,4,9.0
2276304,441732,137082,prior,4,5,15,30.0
1660258,1265113,99684,prior,11,1,14,30.0
3199186,465084,192884,prior,7,2,14,4.0
223222,1141414,13487,prior,8,4,13,12.0
3211408,1541611,193618,prior,5,4,10,30.0
483308,743256,29148,prior,16,2,12,11.0
2077067,216805,124892,prior,7,0,21,2.0
1213893,2269041,72996,prior,7,1,8,9.0
2853941,652048,172205,prior,17,1,18,6.0
1695133,231344,101735,prior,5,0,11,7.0
1851942,1799415,111156,prior,58,6,15,1.0
597593,2386487,36028,prior,28,2,15,6.0
291249,1007542,17631,prior,2,2,16,7.0
2546202,244756,153201,prior,16,1,11,6.0
3379218,854100,203634,prior,34,0,13,3.0
2826362,93316,170527,prior,25,3,9,6.0
593581,2797390,35771,prior,11,1,14,0.0
2231702,2426050,134444,prior,13,5,13,8.0
1668244,1324903,100151,prior,43,6,12,2.0
1245940,626488,74901,prior,13,3,9,27.0
1630424,3075298,97875,train,22,4,13,30.0
1533921,2491300,92130,prior,31,5,18,4.0
2305700,614209,138835,prior,14,6,8,12.0
1224752,2813953,73604,prior,23,5,11,10.0
3138003,1589802,189192,train,19,0,3,30.0
1657983,1045781,99558,prior,18,0,10,13.0
279616,312097,16908,prior,13,6,20,8.0
96275,2301418,5823,prior,11,3,12,18.0
2758714,2845502,166280,prior,12,2,16,26.0
2196204,2903265,132229,prior,6,3,13,14.0
2005412,2118512,120506,prior,17,1,19,5.0
2623184,1049356,157932,prior,52,1,9,2.0
1322496,1010110,79454,prior,7,1,18,8.0
2317333,1724992,139555,prior,11,0,13,11.0
2742272,3110900,165233,prior,4,1,14,6.0
607271,1791515,36620,prior,5,3,11,9.0
388191,2013659,23324,prior,15,1,6,9.0
3399263,2729201,204853,prior,3,2,11,8.0
704753,3286472,42443,prior,4,4,16,1.0
236509,562458,14355,prior,2,2,11,7.0
8164,464492,503,prior,8,6,17,6.0
1423248,1470017,85503,prior,48,5,16,8.0
2485454,2508983,149597,prior,40,2,9,22.0
1437961,953234,86410,prior,41,6,22,24.0
1364833,3416528,82004,prior,27,3,12,14.0
949683,2809771,56977,prior,5,1,10,4.0
1663041,272909,99838,prior,2,1,12,12.0
446708,2849353,26891,prior,7,5,18,7.0
54496,2745314,3397,prior,4,6,9,7.0
2151670,987001,129431,prior,13,0,15,14.0
2965366,886068,178961,prior,17,5,15,9.0
71276,616303,4392,prior,10,5,18,30.0
2114759,2412827,127172,prior,5,4,14,13.0
2697354,2502793,162452,prior,19,2,15,15.0
2673430,453612,160949,prior,5,5,12,9.0
2254752,3123679,135805,prior,9,2,12,2.0
162095,1154011,9760,prior,9,2,17,5.0
2637000,559262,158752,prior,2,2,15,21.0
1043149,1124164,62792,prior,36,0,8,7.0
2261605,2946113,136192,prior,4,0,15,8.0
1465676,2070418,88097,prior,65,4,17,3.0
2991088,3106089,180454,prior,13,6,16,2.0
3152501,1835262,190109,prior,17,5,10,24.0
757596,3281516,45590,prior,9,5,10,30.0
998411,3002079,59990,prior,8,6,16,1.0
1403230,3402143,84305,prior,21,3,17,4.0
467179,1525628,28162,prior,4,2,15,14.0
150640,42002,9063,test,18,6,15,30.0
3191649,1608474,192446,prior,16,3,12,9.0
415296,629410,25005,test,100,2,16,1.0
1142050,659041,68644,prior,2,1,19,30.0
321360,3040470,19457,prior,4,4,9,8.0
2840420,2484717,171402,prior,21,6,11,7.0
3107251,1196843,187370,prior,31,4,10,4.0
752359,3056090,45286,prior,6,2,14,29.0
2887378,2614172,174216,prior,8,0,11,3.0
3282644,1847126,197838,prior,15,5,18,10.0
3038152,3381392,183282,prior,7,4,14,2.0
3194294,666730,192604,prior,19,2,9,0.0
2837569,2435054,171236,prior,52,4,10,6.0
427928,14051,25715,prior,16,2,12,8.0
2101490,3048192,126363,prior,8,4,19,6.0
1462131,3116802,87877,prior,21,0,15,2.0
320281,163806,19395,prior,12,2,8,18.0
218120,2424171,13179,prior,4,3,9,10.0
465736,3323192,28054,prior,13,5,16,22.0
1240774,425113,74600,prior,5,5,18,30.0
2691329,2279012,162097,train,24,4,12,12.0
1539690,3153200,92484,prior,14,5,9,28.0
2915557,1591650,175879,prior,34,0,16,1.0
2882448,2649989,173934,prior,7,2,20,10.0
1185065,433557,71221,prior,12,4,17,30.0
2925008,2579805,176469,prior,17,2,14,4.0
2991765,2917373,180492,prior,48,6,12,5.0
194859,2492307,11810,prior,5,6,6,28.0
1676761,283609,100653,prior,2,1,17,28.0
2542130,675438,152963,prior,24,0,13,2.0
3014566,1730125,181920,prior,15,6,17,15.0
517532,3106489,31182,prior,41,0,18,5.0
2789720,1327236,168237,prior,31,4,10,11.0
2117661,216772,127339,prior,36,2,12,4.0
1969199,3270361,118265,prior,6,0,13,20.0
2488110,137221,149760,prior,84,5,9,3.0
2962222,2602755,178784,prior,23,6,10,7.0
1617575,2587253,97121,prior,3,0,10,6.0
343160,3223782,20769,prior,17,1,9,6.0
3392910,239938,204483,prior,5,5,9,21.0
3228981,1112847,194643,prior,2,2,15,6.0
1136641,1172391,68309,prior,35,1,12,12.0
2786565,2817480,168027,prior,7,0,18,7.0
831438,2811240,49981,prior,30,1,10,7.0
2623513,710582,157959,prior,19,6,11,4.0
3087121,146261,186185,prior,35,0,13,9.0
2277598,237519,137169,prior,12,4,10,11.0
3132803,347385,188855,prior,19,2,13,28.0
2257347,2485229,135945,prior,5,1,14,4.0
158324,2118014,9513,prior,63,1,18,9.0
1987059,2927039,119353,prior,16,0,20,21.0
1375807,2034051,82669,prior,5,6,15,7.0
1962513,1323213,117851,prior,7,3,8,30.0
782407,1668496,47040,prior,16,0,15,8.0
2032672,1183225,122118,train,11,0,15,14.0
3311633,801662,199633,prior,13,1,18,20.0
790323,662702,47523,prior,28,5,15,11.0
2403504,6798,144638,prior,6,0,13,7.0
3132669,1493550,188844,prior,18,3,13,8.0
1215132,2110789,73073,prior,3,1,17,4.0
1308326,1968970,78640,prior,13,4,12,6.0
2419238,2657596,145565,prior,29,5,14,7.0
1987041,220040,119352,prior,11,6,9,30.0
3040104,1498194,183412,prior,16,1,9,4.0
3406773,1905665,205335,prior,7,0,11,6.0
1699561,2246516,102022,prior,10,2,13,7.0
309637,1742684,18718,prior,59,3,13,5.0
1340681,396311,80542,prior,6,3,10,7.0
1528203,423052,91812,prior,64,1,11,7.0
292614,3059946,17706,prior,2,0,13,2.0
577312,617338,34757,prior,10,2,11,30.0
541299,2858111,32633,prior,4,0,10,30.0
68732,1251021,4256,prior,10,3,14,30.0
3292937,3047044,198456,prior,62,6,10,3.0
2599921,1631562,156507,prior,4,0,9,30.0
2420207,1986297,145622,prior,4,3,10,14.0
1989599,1307159,119504,prior,6,1,5,29.0
923099,1660415,55402,prior,28,1,10,5.0
463202,2865891,27888,prior,5,2,17,30.0
1250329,822835,75181,prior,4,1,18,30.0
2517329,3392849,151518,prior,3,0,22,14.0
2132183,3070534,128229,prior,5,4,16,9.0
1720933,2292617,103317,prior,3,6,15,14.0
3022184,2477696,182378,prior,3,4,17,30.0
1246910,2548355,74962,prior,7,6,20,3.0
2899460,2874076,174948,prior,34,4,22,2.0
782728,570893,47058,prior,17,4,13,3.0
1924633,2291738,115594,prior,12,3,12,9.0
1806155,963118,108467,prior,47,5,13,1.0
1091685,2856635,65780,prior,30,2,14,23.0
3236327,128534,195070,prior,21,2,15,4.0
1202218,2901295,72254,prior,7,5,8,19.0
414121,1086378,24926,prior,14,5,12,7.0
86264,2877979,5259,prior,4,5,1,30.0
2001588,566053,120271,prior,8,4,23,13.0
1499736,3254597,90124,train,6,2,14,30.0
1190480,2324518,71572,prior,5,1,8,7.0
3273313,2614447,197299,prior,2,1,10,25.0
1036872,1865770,62399,prior,13,3,17,9.0
2719802,892792,163821,prior,16,5,13,14.0
2670129,2302680,160739,prior,2,1,15,14.0
2315072,2035478,139427,prior,2,0,14,30.0
949380,3149019,56952,prior,8,4,14,4.0
1886161,3227327,113220,prior,5,1,7,8.0
1762983,3248600,105837,prior,5,2,18,7.0
1747525,2604176,104910,prior,80,1,17,5.0
1484099,3264041,89211,prior,43,2,9,2.0
2200414,2795408,132474,prior,28,4,10,14.0
466678,1932611,28132,prior,4,1,17,3.0
2397107,1734057,144244,prior,24,2,18,7.0
2445671,1911584,147165,prior,24,0,14,3.0
197139,1310550,11935,prior,17,0,8,24.0
867516,3347193,52152,prior,22,5,13,4.0
587513,1492177,35404,prior,16,1,11,30.0
1149581,2393001,69087,test,53,2,14,5.0
2449054,833920,147372,prior,66,4,9,1.0
1288801,3203679,77491,prior,4,0,16,13.0
2975989,695443,179609,prior,10,6,9,21.0
2212515,841179,133270,prior,2,1,13,4.0
2252426,1205612,135660,prior,4,4,15,19.0
2647638,767302,159399,prior,3,3,15,6.0
40980,2529061,2529,prior,17,6,0,15.0
1452454,2849051,87255,prior,5,2,16,6.0
1238090,3013690,74434,prior,28,3,15,12.0
2136271,2366462,128479,prior,7,4,21,7.0
2102501,1913192,126419,prior,21,5,13,30.0
1208746,535982,72678,prior,8,0,0,8.0
636876,319412,38382,prior,25,5,19,5.0
913606,446762,54857,prior,2,6,21,30.0
949266,3182254,56938,train,5,1,13,14.0
30705,753127,1888,prior,14,6,14,7.0
3052543,3042440,184114,prior,12,5,19,24.0
489180,31258,29519,prior,9,1,16,8.0
2751419,2987387,165813,prior,65,4,8,7.0
460956,1679587,27761,prior,3,5,20,13.0
2933565,3334511,176975,prior,6,0,12,28.0
1692381,2660327,101575,prior,17,4,17,14.0
2482718,247122,149427,prior,13,3,11,30.0
287034,2777399,17359,prior,2,0,17,30.0
679950,1102385,41000,prior,2,2,10,1.0
2480954,1392794,149326,prior,12,0,12,12.0
1893834,1300093,113685,prior,41,2,18,5.0
1701752,1384547,102161,prior,23,2,9,30.0
3199036,1750874,192871,prior,16,5,8,11.0
2915432,1057404,175874,prior,6,0,14,7.0
3410845,1671390,205593,prior,8,0,18,6.0
612715,3164897,36944,prior,71,0,9,2.0
334799,2988855,20277,prior,8,0,10,8.0
1866774,1297664,112023,prior,5,6,9,7.0
1826872,3045097,109727,prior,3,1,14,0.0
1407666,1323041,84559,prior,8,6,9,3.0
140474,226314,8433,prior,2,2,12,5.0
493875,1034172,29815,prior,21,2,8,8.0
1037268,1090724,62427,prior,25,6,3,4.0
3317959,1573520,199990,prior,13,5,16,2.0
1779609,1939692,106853,prior,4,3,20,30.0
898949,3161278,53986,prior,11,6,20,6.0
300895,208596,18191,prior,13,0,16,14.0
3145711,1264790,189680,prior,63,3,15,0.0
3171423,1666048,191220,prior,10,4,12,7.0
3248637,697349,195811,prior,45,6,17,6.0
2602707,2832689,156672,prior,15,5,16,8.0
2203287,227142,132681,prior,3,4,10,11.0
342698,1359926,20749,prior,6,1,22,8.0
1493944,1094496,89773,prior,3,4,12,30.0
91257,885141,5519,prior,49,5,14,7.0
1200685,386892,72162,prior,10,0,18,6.0
3213524,1201782,193745,prior,8,4,15,30.0
1974685,504651,118600,prior,35,6,10,13.0
99508,650444,6010,prior,20,0,8,11.0
2977251,1047506,179677,prior,6,1,12,17.0
2280626,120134,137357,prior,15,5,14,3.0
1812776,2943721,108859,prior,2,6,18,11.0
14649,3011421,912,prior,5,1,14,8.0
2961490,1734099,178736,prior,83,1,11,4.0
1744102,1810635,104705,prior,10,1,12,14.0
195290,1174155,11839,prior,47,2,19,5.0
1700284,1133920,102067,prior,39,4,16,11.0
2485331,464798,149594,prior,2,6,16,27.0
2999386,1231613,180971,prior,2,3,11,19.0
1604141,2224940,96309,prior,64,4,9,12.0
2450759,1675009,147484,prior,13,0,18,10.0
1775122,454718,106583,prior,34,1,0,2.0
1076626,3064216,64866,prior,5,2,17,7.0
2855492,2249679,172294,prior,51,1,14,3.0
541466,3061779,32643,prior,5,4,15,4.0
3399306,6929,204854,prior,33,2,7,2.0
1173972,1374842,70560,prior,12,2,12,7.0
3324952,911430,200400,prior,34,2,15,7.0
54499,512572,3397,prior,7,4,17,19.0
1824629,2723056,109575,prior,3,1,9,13.0
2857585,360587,172416,prior,7,6,16,4.0
