,order_id,product_id,add_to_cart_order,reordered
589564,1449395,47357,3,1
1199831,2963630,35578,2,0
476160,1166481,39993,19,1
874909,2157227,10132,8,1
918096,2265768,24852,3,1
478388,1172033,21137,4,1
550023,1353467,34124,8,0
690150,1696113,34137,4,1
765836,1885299,22825,21,1
746579,1836487,34126,24,1
962289,2374262,35108,8,1
1039514,2571186,48785,16,0
248268,606055,21903,8,1
1064284,2631493,19508,2,0
239365,584706,42562,2,1
624100,1536015,37158,4,1
704639,1732695,24184,3,1
946771,2335614,49144,2,1
297764,725171,26800,4,0
280965,684440,15712,3,0
123283,301691,6647,25,1
467094,1144923,49509,23,0
1247207,3080865,10529,24,1
606016,1490599,47626,3,1
321932,783775,11520,6,1
420234,1029297,18465,9,1
1343550,3319816,1158,10,1
1251616,3093040,3594,5,1
690672,1697437,33176,3,1
178528,438371,49481,1,1
143455,349664,13176,3,1
867953,2140800,31683,2,1
1015355,2510275,27796,9,0
830501,2047301,2344,7,1
1256933,3107539,25495,5,1
1160127,2867558,42460,7,1
1030287,2546977,44479,4,1
1383582,3419083,12409,8,0
1265200,3125951,1063,6,0
1159780,2866702,18321,11,1
962054,2373663,1166,6,0
142549,347470,11109,5,1
1124457,2779673,34540,18,0
839916,2071407,27977,22,1
560732,1377974,38400,6,0
114910,281018,32537,3,0
352781,859265,39877,4,1
47449,116711,29553,4,1
966776,2385351,31481,7,0
1268300,3133220,21447,17,0
1190974,2942114,21616,7,1
490063,1203312,36962,32,0
1113899,2752619,40670,4,0
905409,2234868,18370,16,1
690411,1696898,6193,8,0
921989,2275514,21137,6,1
1319539,3260194,2091,3,1
775689,1909496,14233,1,1
1151645,2845530,5268,2,1
597324,1469221,9390,11,1
1338626,3307462,25408,1,1
1015603,2511042,1360,1,0
1132914,2799612,21137,2,0
486782,1195227,6046,2,0
517461,1270518,40706,12,1
1111410,2746973,32433,2,0
307531,748391,35221,1,1
1250566,3090150,28600,1,1
1371905,3391853,27845,22,1
949286,2341730,4920,7,1
954245,2353726,24221,10,0
92311,229395,14650,7,0
1220290,3015169,24852,4,1
340073,828748,12508,6,1
1349092,3332853,6287,5,0
1304704,3221877,1519,2,1
465579,1141076,46979,15,0
1050674,2598737,32018,9,1
582818,1432740,48199,3,0
314259,765030,21137,13,0
964451,2379249,3376,23,1
497371,1221385,27521,13,0
512707,1258696,46817,7,1
59530,145993,47734,14,0
48851,120277,38310,8,0
637100,1568717,26985,4,1
458435,1122962,37141,8,0
667282,1640940,10466,25,1
292504,712199,35582,7,0
484248,1187524,15399,5,1
30105,73280,35420,11,1
458396,1122881,45525,4,0
256344,625282,20788,42,1
723250,1778402,19244,8,0
711897,1751010,44359,23,0
1376355,3402700,23139,6,0
845178,2086716,32478,5,1
1188768,2936877,35042,11,1
174305,427122,2974,2,0
348172,849212,11712,12,1
42506,104669,9521,10,0
1106537,2734637,20034,13,0
91204,226666,8174,12,1
725082,1783020,15869,15,1
1270645,3138859,47672,16,0
489193,1201322,44728,3,1
1187074,2933101,19448,13,1
25353,61409,26604,3,1
1074790,2656917,36322,13,1
47042,115669,45999,15,0
137520,335822,5876,6,0
1346740,3327394,41238,5,1
296346,722001,29487,15,0
376860,920063,248,12,1
693746,1705633,30391,1,0
1117392,2761408,39947,6,0
69140,170562,41844,1,1
825207,2035023,47977,2,1
884308,2181416,27069,12,0
1187914,2934803,48204,20,0
643587,1583741,18202,11,0
1152285,2847170,21137,6,1
479214,1174181,21137,3,0
437681,1070657,24024,2,1
769882,1894502,19156,9,1
896071,2211066,46667,10,1
862387,2127725,24852,2,1
796626,1962060,15604,5,1
468528,1148089,39619,12,0
1323124,3268492,29931,26,1
1382693,3417457,45007,1,1
945228,2332153,13176,3,1
1156144,2857210,19660,1,1
313095,761912,46979,8,1
117508,287119,45767,24,1
535113,1314521,26800,3,1
61302,150648,39984,4,1
1087040,2686168,47766,1,1
799342,1969105,46755,11,1
1171433,2894405,8193,4,1
949812,2343021,38827,3,0
647019,1592567,44085,8,1
10738,25866,45622,17,1
1143193,2823643,26369,11,1
202327,496438,20955,3,0
1032307,2552383,8693,1,0
958242,2363591,41414,9,0
1077536,2663714,22228,13,1
1353518,3344027,32079,4,1
847478,2092710,5025,5,0
93708,232693,12456,19,1
1155409,2855353,8518,1,1
1080225,2670527,11926,21,1
1014772,2508780,21288,5,0
1340139,3311465,43631,1,1
728199,1791239,5067,17,0
418545,1025449,20920,20,0
700878,1722996,24852,6,0
952210,2348876,228,3,1
600728,1477507,27730,2,0
107697,264783,42342,19,0
1171002,2893609,24830,6,1
880965,2172825,43789,6,1
467608,1146034,24852,1,1
311646,758962,29439,11,0
696767,1712153,13176,2,1
187409,459757,15351,6,1
657284,1616778,16254,14,1
833210,2053883,46979,14,1
1314642,3247780,21948,2,1
136317,332461,17862,6,0
1261955,3118383,45007,7,1
429531,1050141,26201,6,0
1337,3938,5450,2,1
512754,1258852,32331,7,1
1120394,2768439,49332,6,0
939178,2317553,26604,15,1
520891,1279625,3884,2,0
609413,1499462,32396,16,0
891982,2200005,21616,5,0
578486,1422276,12206,4,0
1342459,3317235,29487,5,1
336458,819755,25970,29,1
134490,328235,11773,6,1
1087884,2688296,4605,11,0
652673,1605625,25171,16,0
304805,742178,26765,1,1
386030,942316,14627,8,1
38870,95894,40674,2,0
1071533,2648047,40516,4,0
475157,1164148,33055,4,1
1287449,3180521,47209,4,1
580350,1426472,24852,8,1
96648,239509,48423,13,1
1358074,3355806,23794,3,0
834803,2057654,43352,4,0
1073389,2653221,26165,2,1
1297443,3204375,15290,4,0
1363537,3369810,42828,11,1
1073823,2654358,16994,23,1
841211,2074695,35176,20,0
399253,976222,43026,7,1
1123149,2775618,27020,10,1
316086,769425,23554,10,1
1025353,2535401,27570,7,1
675525,1659639,22312,4,1
871803,2150528,13259,5,1
364134,886338,11689,2,1
676467,1662238,23236,2,0
888604,2192574,21903,8,1
458310,1122651,24492,13,0
174936,428307,21694,1,1
1296083,3201139,21497,4,1
261291,636905,8424,17,1
990885,2447017,42768,9,1
1249231,3086107,5212,6,1
23842,57270,38141,40,0
405336,991939,17461,8,0
395973,967588,5785,11,1
608704,1497512,30489,2,1
613496,1510525,1516,12,0
746168,1835409,47209,4,1
476315,1166876,29722,5,0
924378,2281043,15290,7,1
742000,1826168,25783,3,0
1123466,2776615,8710,2,0
133245,325094,6583,5,1
611784,1505784,19678,6,1
435945,1065614,26348,6,0
216800,530658,27104,7,0
675489,1659540,45066,2,1
483933,1186536,39619,9,0
876718,2161862,21903,1,0
957948,2362875,21894,14,0
914610,2256731,5769,3,1
338141,824383,11512,10,1
1319012,3259092,46616,4,0
943323,2327649,20842,2,1
1008357,2491485,38838,13,1
172366,421943,23377,11,0
404316,989471,13819,3,1
1039474,2571108,35000,21,0
654146,1609519,27966,13,1
986332,2434989,5710,12,1
290183,706607,33810,6,0
414290,1014843,22504,9,1
920491,2271346,48320,14,0
1291573,3190672,9839,1,1
825510,2035870,37564,11,0
833705,2055109,9741,1,1
1291791,3191357,24035,10,1
464286,1138124,18,6,1
703733,1730466,24838,8,1
40621,99434,31717,22,0
562694,1383407,14992,7,1
782663,1926964,32655,7,1
776077,1910578,30450,1,1
20427,49520,14913,2,1
3466,8226,13380,5,0
1177594,2908499,8239,19,0
1369532,3385698,17983,7,0
917053,2263122,31127,4,1
359398,874466,28156,2,0
511027,1254935,36866,7,1
327010,796369,22056,17,0
359119,873729,21793,16,1
156108,381361,9477,24,0
1012758,2502541,8693,5,1
849270,2096786,21137,4,1
427546,1045702,19896,6,1
763831,1880483,35004,4,1
199898,489754,19049,5,0
367177,895484,13471,10,1
463267,1135055,17900,8,0
882519,2176664,20463,3,0
1327601,3280498,7673,12,0
753156,1853870,3990,17,1
76478,188761,19904,7,0
511849,1256761,46906,1,0
868004,2140818,32864,8,0
177103,434519,34164,4,0
419001,1026348,48745,21,0
5037,12562,2509,5,0
691906,1700997,4269,28,0
1083811,2678406,27086,5,1
210321,515686,45200,3,0
1031515,2549881,21137,1,1
1179741,2913728,10351,20,0
191929,470102,31036,7,1
855172,2110969,22935,9,1
1079017,2667724,15483,8,1
1190061,2940031,41950,26,0
973490,2401448,29615,2,1
885563,2184526,940,9,0
823724,2031521,30169,4,1
268129,653655,1244,11,1
1219014,3011286,12858,9,1
71712,177047,47156,7,0
553242,1360521,24964,1,1
727891,1790382,30784,8,0
1204567,2975374,44636,14,1
1116795,2760286,16797,9,1
1272546,3143482,40824,4,1
412147,1009613,42736,3,1
767526,1889439,35951,4,1
1189422,2938611,37640,12,0
706219,1736104,21026,2,0
1062280,2626840,27642,23,1
847367,2092358,49610,12,1
149459,365212,19678,15,1
1193929,2949456,33452,2,1
621470,1529119,47626,4,0
623723,1535041,8309,10,1
888155,2191599,11679,7,0
274053,667164,17706,15,1
461056,1129169,42342,3,1
221779,543314,8424,7,1
944455,2330245,20114,1,0
890982,2198154,46906,13,1
277979,677284,15995,9,1
902851,2228739,29180,12,1
189575,464472,21137,2,1
1356022,3350244,15392,5,1
411720,1008527,15680,1,0
1344094,3321182,4781,29,1
518781,1274106,26604,12,0
755335,1859858,21903,6,1
766881,1887931,21709,3,1
368837,900390,23385,3,1
79285,196116,11563,10,1
608179,1496115,18303,6,0
852704,2105146,49604,10,0
593946,1460917,22935,6,1
580420,1426590,4600,2,1
1203484,2972758,21914,1,1
1324449,3271943,8277,16,1
547705,1348067,43631,3,1
857314,2116264,26283,8,0
53251,131368,48289,5,1
1030278,2546926,19057,24,1
779077,1917882,45,3,1
555363,1365986,2846,8,0
82212,203015,11678,14,1
1073850,2654440,26709,3,1
742183,1826485,33462,9,0
711808,1750845,35221,2,1
1063281,2629253,21137,1,0
577409,1419603,19774,12,1
204004,500402,42768,5,1
313259,762461,16759,8,1
1127649,2787222,47990,6,0
846050,2089080,42701,3,0
1187658,2934214,42736,14,0
36209,88458,44293,22,1
1004818,2482715,7041,14,0
878412,2166692,16751,2,1
493907,1213330,26914,3,1
701859,1725598,43262,51,0
1290843,3188828,8424,12,0
1363388,3369520,38371,3,1
62729,154114,20014,14,1
313798,763677,40604,5,0
200596,491418,38739,3,1
364447,887177,21417,33,0
589887,1450259,32428,7,1
522075,1282816,32652,25,1
1029086,2544373,21929,24,0
1312104,3241495,36676,4,1
1282285,3167458,27845,1,1
1130608,2794254,26369,15,0
808468,1993547,17687,11,0
991809,2449746,32652,5,0
841514,2075848,19660,1,1
221310,542207,23362,6,1
380163,927227,28849,27,1
1088496,2689668,3800,14,0
5028,12538,22518,22,0
779640,1919231,40706,5,1
1341577,3314630,31717,25,1
609265,1498917,32734,9,1
1378921,3408518,44368,13,0
651271,1602487,11454,5,0
725846,1784991,23165,8,1
658039,1618789,13176,1,1
823093,2030060,31394,10,1
21875,52991,20282,5,0
281505,685538,35845,13,1
590877,1453254,42585,23,1
228763,560282,34126,5,1
862905,2128822,33462,8,0
26981,65733,24852,5,1
